teryt6,name,population,area_km2,lat,lng
120101,Bochnia,29718,29.889,49.968718,20.426587
120102,Bochnia,20024,130.829,49.985916,20.390087
120103,Drwinia,6534,108.536,50.084449,20.449068
120104,Lipnica Murowana,5659,60.327,49.841175,20.511759
120105,Łapanów,8197,71.706,49.863882,20.29434
120106,Nowy Wiśnicz,14177,82.162,49.90948,20.464382
120107,Rzezawa,11348,86.364,49.998501,20.518473
120108,Trzciana,5641,44.095,49.841124,20.376958
120109,Żegocina,5560,34.882,49.814002,20.429149
120601,Czernichów,14712,84.216,50.017338,19.654562
120602,Igołomia-Wawrzeńczyce,7698,62.789,50.100123,20.252279
120603,Iwanowice,9164,71.095,50.219784,19.968276
120604,Jerzmanowice-Przeginia,10964,68.146,50.217756,19.711111
120605,Kocmyrzów-Luborzyca,15776,82.927,50.145061,20.106554
120606,Krzeszowice,32129,139.025,50.13467,19.625229
120607,Liszki,17447,72.058,50.038226,19.763364
120608,Michałowice,10762,51.119,50.15352,19.985347
120609,Mogilany,14233,43.714,49.951997,19.892919
120610,Skała,10579,74.827,50.229167,19.854551
120611,Skawina,43586,99.811,49.9736,19.802035
120612,Słomniki,13638,110.823,50.241901,20.08219
120613,Sułoszowa,5835,53.373,50.259048,19.752134
120614,Świątniki Górne,10195,20.347,49.943198,19.963495
120615,Wielka Wieś,12721,48.269,50.144051,19.845562
120616,Zabierzów,26708,99.422,50.116136,19.787865
120617,Zielonki,23092,48.585,50.126517,19.949359
120801,Charsznica,7441,78.472,50.400964,19.938542
120802,Gołcza,6047,90.019,50.332326,19.912719
120803,Kozłów,4582,85.761,50.47273,20.011464
120804,Książ Wielki,5073,137.833,50.438182,20.145647
120805,Miechów,19645,148.345,50.355626,20.030749
120806,Racławice,2508,59.1,50.326814,20.233528
120807,Słaboszów,3522,76.782,50.382824,20.236847
120901,Dobczyce,15321,66.388,49.882264,20.093472
120902,Lubień,10076,75.09,49.681062,19.950449
120903,Myślenice,44444,153.422,49.836496,19.93798
120904,Pcim,11131,88.964,49.768322,19.941533
120905,Raciechowice,6413,61.149,49.841207,20.154619
120906,Siepraw,9001,31.843,49.900258,19.983386
120907,Sułkowice,14982,60.377,49.843408,19.805225
120908,Tokarnia,8820,68.62,49.733194,19.873821
120909,Wiśniowa,7412,67.095,49.783563,20.107366
121401,Koniusza,9007,88.515,50.156922,20.230118
121402,Koszyce,5454,66.055,50.168918,20.571072
121403,Nowe Brzesko,5712,54.412,50.137367,20.390899
121404,Pałecznica,3568,47.866,50.2772,20.308006
121405,Proszowice,16139,100.035,50.194126,20.298198
121406,Radziemice,3342,57.985,50.255006,20.217932
121901,Biskupice,10450,41.133,49.966898,20.139024
121902,Gdów,18296,108.718,49.917608,20.214251
121903,Kłaj,10768,64.783,49.989721,20.2834
121904,Niepołomice,29141,96.293,50.027358,20.209078
121905,Wieliczka,60481,99.674,49.986578,20.061649
126101,Kraków,779115,326.845,50.065494,19.974161
120501,Gorlice,27357,23.538,49.659498,21.159117
120502,Biecz,16808,98.229,49.728364,21.241575
120503,Bobowa,9798,49.798,49.708116,20.948368
120504,Gorlice,17278,102.867,49.647423,21.142383
120505,Lipinki,6792,66.466,49.674111,21.290902
120506,Łużna,8535,56.299,49.698894,21.044718
120507,Moszczenica,4983,37.617,49.732415,21.085765
120508,Ropa,5507,49.099,49.590744,21.045781
120509,Sękowa,4980,194.829,49.61687,21.207347
120510,Uście Gorlickie,6848,287.584,49.49398,21.127919
120701,Limanowa,15162,18.7,49.708398,20.417913
120702,Mszana Dolna,7889,27.099,49.678514,20.071041
120703,Dobra,9983,109.799,49.709866,20.230054
120704,Jodłownik,8690,72.193,49.783494,20.232822
120705,Kamienica,7850,95.241,49.585312,20.334891
120706,Laskowa,8206,72.487,49.760856,20.491301
120707,Limanowa,25607,152.239,49.706586,20.450014
120708,Łukowica,10062,69.636,49.611045,20.494632
120709,Mszana Dolna,17623,170.064,49.666693,20.099983
120710,Niedźwiedź,7337,74.237,49.616252,20.092326
120711,Słopnice,6764,56.828,49.689358,20.347899
120712,Tymbark,6591,32.705,49.731432,20.318379
121001,Grybów,6026,16.964,49.622192,20.950784
121002,Chełmiec,28834,111.928,49.641868,20.663902
121003,Gródek nad Dunajcem,9252,88.187,49.750356,20.730743
121004,Grybów,25579,153.158,49.628092,20.940273
121005,Kamionka Wielka,10432,65.015,49.584251,20.803701
121006,Korzenna,14497,106.925,49.679946,20.82681
121007,Krynica-Zdrój,16680,145.305,49.412001,20.960421
121008,Łabowa,6089,119.132,49.513745,20.864147
